,Unnamed: 0,Unnamed: 0.1,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Crowd,Stadium_Cap,game_id,game_date,Player
126004,14260,14260,Russell,Westbrook,74a45eed-f2b0-4886-ae71-d04cf7d59528,G,19,28.6,50.0,20.0,17,11,2,6,4,0,1,5,Thunder,0,1,132,34:39,17583,17608,f6ae0a2f-770d-431f-8a81-a7559973a759,2018-12-20T03:00:00+00:00,Russell Westbrook
126010,14266,14266,Bam,Adebayo,11c303dc-540c-4090-8e0c-76c2fb2c125a,C-F,3,50.0,20.0,0.0,4,9,2,0,3,0,0,1,Heat,1,1,101,23:52,19600,19600,47adc747-08a4-4b80-8384-e17a705f1928,2018-12-21T01:00:00+00:00,Bam Adebayo
126012,14268,14268,Hassan,Whiteside,3b8024e6-5872-4ceb-b675-415715527776,C,9,25.0,50.0,0.0,2,17,6,2,1,0,0,2,Heat,1,1,101,24:09,19600,19600,47adc747-08a4-4b80-8384-e17a705f1928,2018-12-21T01:00:00+00:00,Hassan Whiteside
126025,14281,14281,Montrezl,Harrell,869c305c-3e1f-49e5-a59b-5f1e03d198f8,F-C,18,0.0,69.2,0.0,4,6,4,0,3,0,0,1,Clippers,1,1,125,28:22,17528,18997,39656bf0-d29c-4e91-9566-abf313a560f6,2018-12-21T03:30:00+00:00,Montrezl Harrell
126049,14305,14305,DeAndre,Jordan,0036a1fa-ff9a-44a5-8061-68b828ee2b1e,C,11,75.0,66.7,0.0,4,22,7,1,2,0,0,0,Mavericks,0,0,121,32:44,17528,18997,39656bf0-d29c-4e91-9566-abf313a560f6,2018-12-21T03:30:00+00:00,DeAndre Jordan
126051,14307,14307,Luka,Doncic,d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7,G,32,69.2,50.0,50.0,5,4,4,4,3,0,0,4,Mavericks,0,0,121,31:00,17528,18997,39656bf0-d29c-4e91-9566-abf313a560f6,2018-12-21T03:30:00+00:00,Luka Doncic
126068,14324,14324,Kemba,Walker,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,G,22,0.0,62.5,44.4,5,2,0,2,0,0,0,3,Hornets,1,1,98,34:16,15812,19077,1da527b1-4a1d-4656-a34a-6f175f4660ee,2018-12-22T00:00:00+00:00,Kemba Walker
126088,14344,14344,Andre,Drummond,440b769d-2b8b-477f-80d7-cb21d83c0d52,C,17,25.0,50.0,0.0,0,16,8,3,4,0,0,4,Pistons,0,0,86,37:45,15812,19077,1da527b1-4a1d-4656-a34a-6f175f4660ee,2018-12-22T00:00:00+00:00,Andre Drummond
126096,14352,14352,Jonas,Valanciunas,c8788ad2-89f7-4ec9-a22b-dcaf6190889b,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Raptors,1,1,126,00:00,19800,19800,e73e425d-d16d-4397-bcf4-eb47bbd19587,2018-12-22T00:00:00+00:00,Jonas Valanciunas
126103,14359,14359,Chris,Boucher,f01d5d8d-f949-437a-a23f-3835c0939ced,F,2,100.0,0.0,0.0,0,1,1,0,0,0,0,0,Raptors,1,1,126,2:01,19800,19800,e73e425d-d16d-4397-bcf4-eb47bbd19587,2018-12-22T00:00:00+00:00,Chris Boucher
126105,14361,14361,Kawhi,Leonard,c12fb587-fc86-471c-8a84-19caf31325ce,F,37,91.7,83.3,50.0,1,6,2,1,1,0,0,1,Raptors,1,1,126,32:17,19800,19800,e73e425d-d16d-4397-bcf4-eb47bbd19587,2018-12-22T00:00:00+00:00,Kawhi Leonard
126128,14384,14384,Enes,Kanter,5fb038ef-a3bf-4f52-afce-4f5bd074bb88,C,10,0.0,55.6,0.0,1,5,0,1,1,0,0,0,Knicks,1,0,107,24:25,19080,19812,303fe130-fb28-40b9-8691-e52fb630958b,2018-12-22T00:30:00+00:00,Enes Kanter
126133,14389,14389,Kristaps,Porzingis,3c5901ef-af1d-441d-aeed-8e0a93cead49,F-C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Knicks,1,0,107,00:00,19080,19812,303fe130-fb28-40b9-8691-e52fb630958b,2018-12-22T00:30:00+00:00,Kristaps Porzingis
126137,14393,14393,Mitchell,Robinson,97e25d19-7c5c-49f9-91c0-5cd9b9cebdcb,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Knicks,1,0,107,00:00,19080,19812,303fe130-fb28-40b9-8691-e52fb630958b,2018-12-22T00:30:00+00:00,Mitchell Robinson
126147,14403,14403,Trae,Young,cf418e0c-de9d-438f-a1ac-3be539a56c42,G,15,71.4,55.6,0.0,10,3,1,1,1,0,1,2,Hawks,0,1,114,28:09,19080,19812,303fe130-fb28-40b9-8691-e52fb630958b,2018-12-22T00:30:00+00:00,Trae Young
126152,14408,14408,John,Collins,28a2e698-9f33-4d4d-9a5d-9bea66ee42a1,F,17,75.0,58.3,0.0,4,16,5,0,2,0,0,1,Hawks,0,1,114,32:56,19080,19812,303fe130-fb28-40b9-8691-e52fb630958b,2018-12-22T00:30:00+00:00,John Collins
126158,14414,14414,Jarrett,Allen,a3fff5c7-19b6-4dac-bd75-11b944bea505,C,10,100.0,100.0,0.0,2,5,2,0,0,0,0,0,Nets,1,0,106,29:26,13302,17732,e813969a-b6f9-4ed0-9b7b-ee2397e41ff8,2018-12-22T00:30:00+00:00,Jarrett Allen
126180,14436,14436,Domantas,Sabonis,22038780-8c50-4211-a99e-656d983e5207,F,17,75.0,63.6,0.0,0,2,0,3,5,0,0,5,Pacers,0,1,114,18:31,13302,17732,e813969a-b6f9-4ed0-9b7b-ee2397e41ff8,2018-12-22T00:30:00+00:00,Domantas Sabonis
126192,14448,14448,Jayson,Tatum,98136da3-452f-49dc-a794-1ee9c76443f2,F,20,87.5,25.0,42.9,2,5,0,2,4,0,1,2,Celtics,1,0,107,31:48,18624,18624,a47073ea-02ad-423a-90eb-4019b35f68e8,2018-12-22T01:00:00+00:00,Jayson Tatum
126203,14459,14459,Kyrie,Irving,dd146010-902b-4ad7-b98c-650d0363a2f0,G,15,0.0,37.5,25.0,7,9,3,0,1,0,0,1,Celtics,1,0,107,38:47,18624,18624,a47073ea-02ad-423a-90eb-4019b35f68e8,2018-12-22T01:00:00+00:00,Kyrie Irving
126207,14463,14463,Christian,Wood,98100660-988b-4e71-a89e-f35839964483,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bucks,0,1,120,00:00,18624,18624,a47073ea-02ad-423a-90eb-4019b35f68e8,2018-12-22T01:00:00+00:00,Christian Wood
126217,14473,14473,Giannis,Antetokounmpo,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,F,30,76.5,70.0,33.3,5,8,3,0,3,0,0,4,Bucks,0,1,120,33:07,18624,18624,a47073ea-02ad-423a-90eb-4019b35f68e8,2018-12-22T01:00:00+00:00,Giannis Antetokounmpo
126219,14475,14475,Khris,Middleton,4c362eee-6474-40ea-b1b4-d8f917f95175,F,21,50.0,36.4,44.4,5,9,3,1,4,0,0,2,Bucks,0,1,120,33:37,18624,18624,a47073ea-02ad-423a-90eb-4019b35f68e8,2018-12-22T01:00:00+00:00,Khris Middleton
126250,14506,14506,Nikola,Vucevic,7366b2b7-5959-4dd9-9204-760e861b3119,C,19,100.0,50.0,20.0,4,19,5,0,3,0,0,0,Magic,0,0,80,36:41,20436,20917,a9791406-8789-4869-81a3-2f1ea99b1d2a,2018-12-22T01:00:00+00:00,Nikola Vucevic
126269,14525,14525,DeMar,DeRozan,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,G,12,50.0,50.0,0.0,8,5,0,0,3,0,1,4,Spurs,1,1,124,31:35,17708,18581,a6ab6a1d-5c1f-4109-a108-ed087ad29046,2018-12-22T01:30:00+00:00,DeMar DeRozan
126278,14534,14534,Derrick,Rose,48341095-ae5a-4d61-bcc8-1b0ceed870b2,G,4,100.0,12.5,0.0,1,2,0,0,0,0,0,1,Timberwolves,0,0,98,15:53,17708,18581,a6ab6a1d-5c1f-4109-a108-ed087ad29046,2018-12-22T01:30:00+00:00,Derrick Rose
126287,14543,14543,Karl-Anthony,Towns,ab532a66-9314-4d57-ade7-bb54a70c65ad,C,13,80.0,30.0,20.0,4,6,0,1,3,0,0,1,Timberwolves,0,0,98,28:55,17708,18581,a6ab6a1d-5c1f-4109-a108-ed087ad29046,2018-12-22T01:30:00+00:00,Karl-Anthony Towns
126295,14551,14551,De'Aaron,Fox,cfc1e41b-74ab-45ee-8132-aaf9ca7f8163,G,14,66.7,25.0,66.7,8,2,0,5,4,0,0,3,Kings,1,1,102,32:56,16369,17608,88c83440-9f96-4222-bed4-1e938cf4da88,2018-12-22T03:00:00+00:00,De'Aaron Fox
126332,14588,14588,Damian,Lillard,5382cf43-3a79-4a5a-a7fd-153906fe65dd,G,19,50.0,37.5,50.0,2,4,3,3,0,0,0,4,Trail Blazers,1,0,90,34:02,19127,19393,f9592840-8c97-43be-9559-3de80e1551df,2018-12-22T03:00:00+00:00,Damian Lillard
126343,14599,14599,Tony,Bradley,6130d33e-5725-4f5d-8f81-76ecd691a5b2,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,1,120,00:00,19127,19393,f9592840-8c97-43be-9559-3de80e1551df,2018-12-22T03:00:00+00:00,Tony Bradley
126350,14606,14606,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,11,100.0,44.4,0.0,3,11,2,0,3,0,0,3,Jazz,0,1,120,29:33,19127,19393,f9592840-8c97-43be-9559-3de80e1551df,2018-12-22T03:00:00+00:00,Rudy Gobert
126361,14617,14617,Ivica,Zubac,2da18268-82d4-4b40-a296-7ceddd435d0b,C,16,0.0,80.0,0.0,0,11,2,2,5,0,0,1,Lakers,1,1,112,32:16,18997,18997,6ba7d645-69ed-47f9-8d54-8137788b8a97,2018-12-22T03:30:00+00:00,Ivica Zubac
126362,14618,14618,LeBron,James,0afbe608-940a-4d5d-a1f7-468718c67d91,F,22,66.7,50.0,0.0,14,12,2,2,3,0,0,2,Lakers,1,1,112,38:45,18997,18997,6ba7d645-69ed-47f9-8d54-8137788b8a97,2018-12-22T03:30:00+00:00,LeBron James
126381,14637,14637,Anthony,Davis,ea8826b8-1f76-4eab-b61e-ffcb176880f3,F,30,62.5,57.9,25.0,5,20,5,0,2,0,0,1,Pelicans,0,0,104,39:21,18997,18997,6ba7d645-69ed-47f9-8d54-8137788b8a97,2018-12-22T03:30:00+00:00,Anthony Davis
126396,14652,14652,Montrezl,Harrell,869c305c-3e1f-49e5-a59b-5f1e03d198f8,F-C,20,66.7,81.8,0.0,0,10,3,0,2,0,1,0,Clippers,1,1,132,19:23,16571,18997,7f96b601-f0e4-4661-85ff-afb60054af68,2018-12-22T22:00:00+00:00,Montrezl Harrell
126418,14674,14674,Nikola,Jokic,f2625432-3903-4f90-9b0b-2e4f63856bb0,F,19,100.0,38.5,100.0,3,6,2,0,2,0,2,4,Nuggets,0,0,111,20:37,16571,18997,7f96b601-f0e4-4661-85ff-afb60054af68,2018-12-22T22:00:00+00:00,Nikola Jokic
126429,14685,14685,Thomas,Bryant,030424b9-7367-45e1-b9d4-c8dee3a89e53,C,31,100.0,100.0,0.0,2,13,4,0,3,0,0,1,Wizards,1,1,149,35:54,16571,20356,15538d70-f696-4d58-9f2c-1a606462a641,2018-12-23T00:00:00+00:00,Thomas Bryant
126432,14688,14688,Bradley,Beal,ff461754-ad20-4eeb-af02-2b46cc980b24,G,40,100.0,61.9,33.3,15,11,6,0,5,0,0,8,Wizards,1,1,149,53:56,16571,20356,15538d70-f696-4d58-9f2c-1a606462a641,2018-12-23T00:00:00+00:00,Bradley Beal
126443,14699,14699,Devin,Booker,31baa84f-c759-4f92-8e1f-a92305ade3d6,G,33,87.5,62.5,16.7,14,4,3,1,5,0,0,4,Suns,0,0,146,54:36,16571,20356,15538d70-f696-4d58-9f2c-1a606462a641,2018-12-23T00:00:00+00:00,Devin Booker
126452,14708,14708,Deandre,Ayton,7ca4beac-bbd6-454f-b820-4e8442a3e1e5,C,26,80.0,61.1,0.0,1,17,9,1,6,0,0,3,Suns,0,0,146,38:33,16571,20356,15538d70-f696-4d58-9f2c-1a606462a641,2018-12-23T00:00:00+00:00,Deandre Ayton
126459,14715,14715,Joel,Embiid,bf9ad0fd-0cb8-4360-8970-5f1b5cf3fa8d,C,27,77.8,66.7,0.0,1,11,1,1,3,0,1,3,76ers,1,1,126,30:38,20691,20478,0c51a238-cd95-4694-864e-83e24ae2118c,2018-12-23T00:30:00+00:00,Joel Embiid
126462,14718,14718,Ben,Simmons,318debd7-dab6-4d4e-8849-03c4c701a7c8,G,26,66.7,84.6,0.0,8,12,1,0,2,0,1,1,76ers,1,1,126,33:30,20691,20478,0c51a238-cd95-4694-864e-83e24ae2118c,2018-12-23T00:30:00+00:00,Ben Simmons
126470,14726,14726,Jimmy,Butler,0e163d44-67a7-4107-9421-5333600166bb,F,12,100.0,50.0,0.0,7,7,1,3,3,0,1,2,76ers,1,1,126,28:37,20691,20478,0c51a238-cd95-4694-864e-83e24ae2118c,2018-12-23T00:30:00+00:00,Jimmy Butler
126482,14738,14738,Jonas,Valanciunas,c8788ad2-89f7-4ec9-a22b-dcaf6190889b,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Raptors,0,0,101,00:00,20691,20478,0c51a238-cd95-4694-864e-83e24ae2118c,2018-12-23T00:30:00+00:00,Jonas Valanciunas
126485,14741,14741,Kawhi,Leonard,c12fb587-fc86-471c-8a84-19caf31325ce,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Raptors,0,0,101,00:00,20691,20478,0c51a238-cd95-4694-864e-83e24ae2118c,2018-12-23T00:30:00+00:00,Kawhi Leonard
126487,14743,14743,Chris,Boucher,f01d5d8d-f949-437a-a23f-3835c0939ced,F,0,0.0,0.0,0.0,0,2,0,0,4,0,0,2,Raptors,0,0,101,5:47,20691,20478,0c51a238-cd95-4694-864e-83e24ae2118c,2018-12-23T00:30:00+00:00,Chris Boucher
126496,14752,14752,Hassan,Whiteside,3b8024e6-5872-4ceb-b675-415715527776,C,11,25.0,29.4,0.0,1,13,3,0,2,0,0,1,Heat,1,1,94,27:44,19600,19600,2a06c5c8-bd49-4a68-8867-f29b3695ab14,2018-12-23T01:00:00+00:00,Hassan Whiteside
126500,14756,14756,Bam,Adebayo,11c303dc-540c-4090-8e0c-76c2fb2c125a,C-F,4,0.0,40.0,0.0,1,4,2,1,4,0,0,0,Heat,1,1,94,17:59,19600,19600,2a06c5c8-bd49-4a68-8867-f29b3695ab14,2018-12-23T01:00:00+00:00,Bam Adebayo
126508,14764,14764,Giannis,Antetokounmpo,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,F,9,75.0,30.0,0.0,3,13,0,0,5,0,0,4,Bucks,0,0,87,33:37,19600,19600,2a06c5c8-bd49-4a68-8867-f29b3695ab14,2018-12-23T01:00:00+00:00,Giannis Antetokounmpo
126515,14771,14771,Christian,Wood,98100660-988b-4e71-a89e-f35839964483,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bucks,0,0,87,00:00,19600,19600,2a06c5c8-bd49-4a68-8867-f29b3695ab14,2018-12-23T01:00:00+00:00,Christian Wood
126516,14772,14772,Khris,Middleton,4c362eee-6474-40ea-b1b4-d8f917f95175,F,18,100.0,71.4,18.2,4,7,0,2,1,0,0,4,Bucks,0,0,87,34:31,19600,19600,2a06c5c8-bd49-4a68-8867-f29b3695ab14,2018-12-23T01:00:00+00:00,Khris Middleton
126522,14778,14778,James,Harden,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,G,39,88.9,33.3,36.8,10,4,2,2,4,0,0,3,Rockets,1,1,108,41:07,18055,18500,3473f169-ea05-4c0a-8397-0d67f375f1d8,2018-12-23T01:00:00+00:00,James Harden
126541,14797,14797,Luka,Doncic,d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7,G,19,50.0,44.4,50.0,5,3,1,1,2,0,0,2,Mavericks,0,0,116,29:40,19596,19596,5158259e-f2aa-4bc8-883b-3c52d3ba51a8,2018-12-23T01:30:00+00:00,Luka Doncic
126550,14806,14806,DeAndre,Jordan,0036a1fa-ff9a-44a5-8061-68b828ee2b1e,C,12,40.0,50.0,0.0,5,23,4,2,2,0,1,1,Mavericks,0,0,116,35:41,19596,19596,5158259e-f2aa-4bc8-883b-3c52d3ba51a8,2018-12-23T01:30:00+00:00,DeAndre Jordan
126562,14818,14818,Tony,Bradley,6130d33e-5725-4f5d-8f81-76ecd691a5b2,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,1,0,106,00:00,18306,18306,7726f335-f20c-4f7a-8cf4-6dd266fa566b,2018-12-23T02:00:00+00:00,Tony Bradley
126567,14823,14823,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,20,66.7,53.3,0.0,0,10,3,0,1,0,0,0,Jazz,1,0,106,34:00,18306,18306,7726f335-f20c-4f7a-8cf4-6dd266fa566b,2018-12-23T02:00:00+00:00,Rudy Gobert
126581,14837,14837,Russell,Westbrook,74a45eed-f2b0-4886-ae71-d04cf7d59528,G,8,100.0,23.1,0.0,9,12,0,3,6,0,0,6,Thunder,0,1,107,34:56,18306,18306,7726f335-f20c-4f7a-8cf4-6dd266fa566b,2018-12-23T02:00:00+00:00,Russell Westbrook
126582,14838,14838,Nerlens,Noel,2012f4fd-98e0-4080-98a7-0cfb9de87067,F-C,1,50.0,0.0,0.0,1,1,0,0,1,0,0,1,Thunder,0,1,107,8:43,18306,18306,7726f335-f20c-4f7a-8cf4-6dd266fa566b,2018-12-23T02:00:00+00:00,Nerlens Noel
126589,14845,14845,Steven,Adams,a208e22a-6b63-45f9-b7c6-bf913a68f3df,C,15,25.0,58.3,0.0,0,10,4,1,1,0,0,2,Thunder,0,1,107,39:18,18306,18306,7726f335-f20c-4f7a-8cf4-6dd266fa566b,2018-12-23T02:00:00+00:00,Steven Adams
126590,14846,14846,Paul,George,db09f372-9a17-4889-add7-bf8a75ab6da6,F,43,80.0,66.7,50.0,6,14,1,5,1,0,0,3,Thunder,0,1,107,40:08,18306,18306,7726f335-f20c-4f7a-8cf4-6dd266fa566b,2018-12-23T02:00:00+00:00,Paul George
126604,14860,14860,Andre,Drummond,440b769d-2b8b-477f-80d7-cb21d83c0d52,C,13,16.7,50.0,0.0,2,15,2,2,3,0,0,2,Pistons,1,0,95,28:57,16532,20491,8537b350-9b30-477d-bc0e-89f102a46926,2018-12-23T21:00:00+00:00,Andre Drummond
126620,14876,14876,John,Collins,28a2e698-9f33-4d4d-9a5d-9bea66ee42a1,F-C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Hawks,0,1,98,00:00,16532,20491,8537b350-9b30-477d-bc0e-89f102a46926,2018-12-23T21:00:00+00:00,John Collins
126621,14877,14877,Trae,Young,cf418e0c-de9d-438f-a1ac-3be539a56c42,G,12,66.7,36.4,0.0,6,7,3,2,1,0,0,6,Hawks,0,1,98,30:58,16532,20491,8537b350-9b30-477d-bc0e-89f102a46926,2018-12-23T21:00:00+00:00,Trae Young
126633,14889,14889,Domantas,Sabonis,22038780-8c50-4211-a99e-656d983e5207,F,15,75.0,85.7,0.0,3,10,2,0,5,0,0,2,Pacers,1,1,105,25:16,17923,20000,c4c61a24-75a1-4205-978b-2f9724d74c96,2018-12-23T22:00:00+00:00,Domantas Sabonis
126641,14897,14897,Bradley,Beal,ff461754-ad20-4eeb-af02-2b46cc980b24,G,7,100.0,20.0,16.7,5,4,0,1,0,0,0,0,Wizards,0,0,89,23:52,17923,20000,c4c61a24-75a1-4205-978b-2f9724d74c96,2018-12-23T22:00:00+00:00,Bradley Beal
126651,14907,14907,Thomas,Bryant,030424b9-7367-45e1-b9d4-c8dee3a89e53,C,11,100.0,40.0,100.0,0,7,0,0,2,0,0,1,Wizards,0,0,89,17:35,17923,20000,c4c61a24-75a1-4205-978b-2f9724d74c96,2018-12-23T22:00:00+00:00,Thomas Bryant
126661,14917,14917,De'Aaron,Fox,cfc1e41b-74ab-45ee-8132-aaf9ca7f8163,G,19,72.7,28.6,100.0,11,1,0,2,4,0,0,1,Kings,1,1,122,33:52,16643,17608,4d826483-1846-4f71-b685-5e6831fb4f8a,2018-12-23T23:00:00+00:00,De'Aaron Fox
126687,14943,14943,Anthony,Davis,ea8826b8-1f76-4eab-b61e-ffcb176880f3,F,26,91.7,40.0,20.0,4,17,2,2,2,0,0,1,Pelicans,0,0,117,39:51,16643,17608,4d826483-1846-4f71-b685-5e6831fb4f8a,2018-12-23T23:00:00+00:00,Anthony Davis
126706,14962,14962,Nikola,Vucevic,7366b2b7-5959-4dd9-9204-760e861b3119,C,8,40.0,27.3,0.0,0,7,5,0,1,0,0,3,Magic,1,0,91,29:27,18846,18846,67715d6d-50e7-4ce6-bc32-295e0cf824e1,2018-12-23T23:00:00+00:00,Nikola Vucevic
126711,14967,14967,Hassan,Whiteside,3b8024e6-5872-4ceb-b675-415715527776,C,14,0.0,53.8,0.0,1,6,1,2,4,0,1,3,Heat,0,1,115,27:49,18846,18846,67715d6d-50e7-4ce6-bc32-295e0cf824e1,2018-12-23T23:00:00+00:00,Hassan Whiteside
126714,14970,14970,Bam,Adebayo,11c303dc-540c-4090-8e0c-76c2fb2c125a,C-F,3,50.0,20.0,0.0,5,6,3,1,4,0,0,2,Heat,0,1,115,20:11,18846,18846,67715d6d-50e7-4ce6-bc32-295e0cf824e1,2018-12-23T23:00:00+00:00,Bam Adebayo
126725,14981,14981,Kyrie,Irving,dd146010-902b-4ad7-b98c-650d0363a2f0,G,25,75.0,83.3,66.7,5,4,1,0,1,0,0,1,Celtics,1,1,119,28:53,18624,18624,d7777c98-4c1a-4ad5-bf18-d1fd2f70b274,2018-12-23T23:00:00+00:00,Kyrie Irving
126738,14994,14994,Jayson,Tatum,98136da3-452f-49dc-a794-1ee9c76443f2,F,17,66.7,60.0,37.5,1,4,0,0,0,0,0,2,Celtics,1,1,119,23:15,18624,18624,d7777c98-4c1a-4ad5-bf18-d1fd2f70b274,2018-12-23T23:00:00+00:00,Jayson Tatum
126750,15006,15006,Kemba,Walker,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,G,21,100.0,71.4,37.5,4,3,0,2,0,0,0,2,Hornets,0,0,103,28:38,18624,18624,d7777c98-4c1a-4ad5-bf18-d1fd2f70b274,2018-12-23T23:00:00+00:00,Kemba Walker
126757,15013,15013,Jarrett,Allen,a3fff5c7-19b6-4dac-bd75-11b944bea505,C,11,0.0,50.0,100.0,2,9,3,1,0,0,0,0,Nets,1,1,111,23:46,15310,17732,f6be0c33-1af4-49ac-be64-70c15c33a0f5,2018-12-23T23:00:00+00:00,Jarrett Allen
126775,15031,15031,Devin,Booker,31baa84f-c759-4f92-8e1f-a92305ade3d6,G,25,100.0,47.4,25.0,9,2,2,0,2,0,0,4,Suns,0,0,103,30:03,15310,17732,f6be0c33-1af4-49ac-be64-70c15c33a0f5,2018-12-23T23:00:00+00:00,Devin Booker
126783,15039,15039,Deandre,Ayton,7ca4beac-bbd6-454f-b820-4e8442a3e1e5,C,26,0.0,81.3,0.0,1,18,4,2,4,0,0,2,Suns,0,0,103,32:16,15310,17732,f6be0c33-1af4-49ac-be64-70c15c33a0f5,2018-12-23T23:00:00+00:00,Deandre Ayton
126825,15081,15081,Paul,George,db09f372-9a17-4889-add7-bf8a75ab6da6,F,31,100.0,44.4,50.0,3,12,1,1,3,0,0,3,Thunder,1,0,112,38:35,18203,18203,3194fe13-739a-41d0-8ba2-324fb117c0b4,2018-12-24T01:00:00+00:00,Paul George
126830,15086,15086,Nerlens,Noel,2012f4fd-98e0-4080-98a7-0cfb9de87067,F-C,0,0.0,0.0,0.0,2,5,2,0,3,0,0,0,Thunder,1,0,112,17:43,18203,18203,3194fe13-739a-41d0-8ba2-324fb117c0b4,2018-12-24T01:00:00+00:00,Nerlens Noel
126834,15090,15090,Steven,Adams,a208e22a-6b63-45f9-b7c6-bf913a68f3df,C,12,0.0,60.0,0.0,0,4,3,0,4,0,0,1,Thunder,1,0,112,27:57,18203,18203,3194fe13-739a-41d0-8ba2-324fb117c0b4,2018-12-24T01:00:00+00:00,Steven Adams
126837,15093,15093,Russell,Westbrook,74a45eed-f2b0-4886-ae71-d04cf7d59528,G,23,50.0,50.0,100.0,10,11,1,1,6,0,0,4,Thunder,1,0,112,35:49,18203,18203,3194fe13-739a-41d0-8ba2-324fb117c0b4,2018-12-24T01:00:00+00:00,Russell Westbrook
126845,15101,15101,Derrick,Rose,48341095-ae5a-4d61-bcc8-1b0ceed870b2,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Timberwolves,0,1,114,00:00,18203,18203,3194fe13-739a-41d0-8ba2-324fb117c0b4,2018-12-24T01:00:00+00:00,Derrick Rose
126847,15103,15103,Karl-Anthony,Towns,ab532a66-9314-4d57-ade7-bb54a70c65ad,C,18,100.0,42.9,100.0,6,4,0,0,5,0,0,4,Timberwolves,0,1,114,27:03,18203,18203,3194fe13-739a-41d0-8ba2-324fb117c0b4,2018-12-24T01:00:00+00:00,Karl-Anthony Towns
126875,15131,15131,Montrezl,Harrell,869c305c-3e1f-49e5-a59b-5f1e03d198f8,F-C,13,33.3,60.0,0.0,2,3,0,0,4,0,0,2,Clippers,0,0,127,25:33,19596,19596,a57d1ab8-6ab5-481b-bbd6-4cf4b7debce2,2018-12-24T01:30:00+00:00,Montrezl Harrell
126902,15158,15158,Damian,Lillard,5382cf43-3a79-4a5a-a7fd-153906fe65dd,G,33,100.0,52.9,28.6,7,2,0,0,3,0,0,2,Trail Blazers,1,1,121,39:25,19707,19393,d68c33d8-48ca-491a-a8ba-9ed3e81255e0,2018-12-24T02:00:00+00:00,Damian Lillard
126904,15160,15160,Luka,Doncic,d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7,G,23,77.8,35.7,28.6,6,11,2,0,0,0,0,1,Mavericks,0,0,118,35:26,19707,19393,d68c33d8-48ca-491a-a8ba-9ed3e81255e0,2018-12-24T02:00:00+00:00,Luka Doncic
126914,15170,15170,DeAndre,Jordan,0036a1fa-ff9a-44a5-8061-68b828ee2b1e,C,14,66.7,75.0,0.0,1,10,3,0,1,0,0,1,Mavericks,0,0,118,34:21,19707,19393,d68c33d8-48ca-491a-a8ba-9ed3e81255e0,2018-12-24T02:00:00+00:00,DeAndre Jordan
126925,15181,15181,Ivica,Zubac,2da18268-82d4-4b40-a296-7ceddd435d0b,C,19,75.0,66.7,0.0,1,4,1,0,3,0,0,1,Lakers,1,0,99,32:53,18997,18997,19ab17b3-14b8-4e23-aa6c-8e715298c833,2018-12-24T02:30:00+00:00,Ivica Zubac
126928,15184,15184,LeBron,James,0afbe608-940a-4d5d-a1f7-468718c67d91,F,22,100.0,66.7,40.0,7,14,1,1,0,0,0,4,Lakers,1,0,99,35:37,18997,18997,19ab17b3-14b8-4e23-aa6c-8e715298c833,2018-12-24T02:30:00+00:00,LeBron James
126955,15211,15211,Enes,Kanter,5fb038ef-a3bf-4f52-afce-4f5bd074bb88,C,12,100.0,50.0,50.0,1,6,2,1,2,0,0,1,Knicks,1,0,95,25:02,19812,19812,9b2f7b03-a5de-4125-8eaf-f0c7f1f636c7,2018-12-25T17:00:00+00:00,Enes Kanter
126957,15213,15213,Mitchell,Robinson,97e25d19-7c5c-49f9-91c0-5cd9b9cebdcb,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Knicks,1,0,95,00:00,19812,19812,9b2f7b03-a5de-4125-8eaf-f0c7f1f636c7,2018-12-25T17:00:00+00:00,Mitchell Robinson
