,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Stadium_Cap,game_id,game_date
43,Michael,Carter-Williams,1f5e7dfc-225d-4a25-8857-e6f8192b4c44,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Magic,1,1,133,00:00,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
44,Nikola,Vucevic,7366b2b7-5959-4dd9-9204-760e861b3119,C,23,0.0,100.0,75.0,3,6,0,1,0,0,0,0,Magic,1,1,133,25:55,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
45,James,Ennis III,4cbe58e4-5e4b-46b0-9f7b-6cf18ad002c6,F,16,100.0,57.1,50.0,0,4,1,2,5,0,0,2,Magic,1,1,133,30:49,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
46,Nickeil,Alexander-Walker,d3d0ab55-b939-47b3-af27-77cdf85d7956,G,29,100.0,75.0,33.3,7,1,1,1,4,0,0,6,Pelicans,0,0,127,35:49,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
47,Josh,Hart,d6fbf8f8-bb4a-43f7-95f6-498a5e042138,F,23,75.0,80.0,33.3,6,14,1,1,0,0,0,2,Pelicans,0,0,127,35:57,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
48,Jahlil,Okafor,a47ac0db-084a-4620-95e8-812c6168cf8d,C-F,8,0.0,66.7,0.0,0,4,1,0,2,0,0,1,Pelicans,0,0,127,17:02,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
49,Nicolo,Melli,d631444a-24f1-4ea6-97a9-dbb75a564f25,F,6,100.0,100.0,20.0,1,5,0,0,1,0,0,0,Pelicans,0,0,127,25:18,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
50,Zylan,Cheatham,f4623e57-5443-4ca2-a357-a4b06badfd15,F,8,0.0,100.0,0.0,1,3,2,1,5,0,0,1,Pelicans,0,0,127,20:22,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
51,E'Twaun,Moore,5a854508-5f41-4009-8986-a162224c511d,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pelicans,0,0,127,00:00,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
52,Zion,Williamson,5cc51c05-06f5-4ae4-89a4-1d329fbbcdfb,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pelicans,0,0,127,00:00,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
53,Kenrich,Williams,9318b4c1-49d0-40eb-8b76-1098e28133d2,G-F,0,0.0,0.0,0.0,1,5,2,2,3,0,0,0,Pelicans,0,0,127,18:49,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
54,Jrue,Holiday,65700e81-3aa0-49a9-8a94-004f2cfb64e5,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pelicans,0,0,127,00:00,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
55,Sindarius,Thornwell,6bc2803e-4dd4-4db7-9404-9300acf9364d,G,9,50.0,66.7,33.3,1,2,0,0,1,0,0,2,Pelicans,0,0,127,19:24,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
56,Lonzo,Ball,0f1de951-5a0e-4bc7-977c-8dafd0fbf121,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pelicans,0,0,127,00:00,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
57,Jaxson,Hayes,582db35d-33ae-4913-9bb3-5de4fb763e46,C,13,75.0,71.4,0.0,0,4,2,0,4,0,0,1,Pelicans,0,0,127,30:58,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
58,Derrick,Favors,ad354ebb-88e5-46e4-ad79-f7188ee1f6c2,F-C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pelicans,0,0,127,00:00,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
59,Frank,Jackson,88382494-4529-43d0-a328-b747e9372564,G,31,80.0,60.0,33.3,5,2,0,1,2,0,0,0,Pelicans,0,0,127,36:21,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
60,JJ,Redick,c67a37c2-660c-4da9-90c3-95db43613038,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pelicans,0,0,127,00:00,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
61,Brandon,Ingram,8082841d-e516-43c6-a81b-7987fa321acd,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pelicans,0,0,127,00:00,1200,d5393ffd-caf1-4557-84c0-73ec2cfa8629,2020-08-14T01:00:00+00:00
