,game_id,home_team_id,away_team_id,home_team_name,away_team_name,date,home_points,away_points,Season
70,75c4e8e7-588e-4b27-adda-7c6ba4ac8384,f073a15f-0486-4179-b0a3-dfd0294eb595,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Indiana Fever,Seattle Storm,2020-08-21T00:00:00Z,90,84,2020
71,83b01ad2-ef56-4330-ad96-4efff3be363a,171b097d-01db-4ae8-9d56-035689402ec6,a015b02d-845c-40c1-8ef4-844984f47e4d,Las Vegas Aces,Connecticut Sun,2020-08-21T02:00:00Z,99,78,2020
72,ca8edbd7-5c07-42b3-895b-2e62f318ea72,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Atlanta Dream,Los Angeles Sparks,2020-08-21T23:00:00Z,85,93,2020
73,24c9f58e-0f59-411c-bc85-34e4ebe72120,5f0b5caf-708b-4300-92f2-53b51d83ec06,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Dallas Wings,Washington Mystics,2020-08-22T00:00:00Z,101,92,2020
74,f9bfca28-6b95-4308-8599-b1e848fb6127,0699edf3-5993-4182-b9b4-ec935cbd4fcc,6f017f37-be96-4bdc-b6d3-0a0429c72e89,Phoenix Mercury,Minnesota Lynx,2020-08-22T02:00:00Z,80,90,2020
75,cda5c741-035e-4f21-af34-0244127e5bb1,171b097d-01db-4ae8-9d56-035689402ec6,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Las Vegas Aces,Seattle Storm,2020-08-22T19:00:00Z,82,74,2020
76,14e6a830-6de3-4147-8f89-cdc2cb75ec97,3c409388-ab73-4c7f-953d-3a71062240f6,f073a15f-0486-4179-b0a3-dfd0294eb595,Chicago Sky,Indiana Fever,2020-08-22T21:00:00Z,87,76,2020
77,9bb050f5-c9ad-492e-a1bb-0e8e9c600310,a015b02d-845c-40c1-8ef4-844984f47e4d,08ed8274-e29f-4248-bc2e-83cc8ed18d75,Connecticut Sun,New York Liberty,2020-08-22T23:00:00Z,82,65,2020
78,81ee36ce-61e3-4394-90bb-051da067f61b,6f017f37-be96-4bdc-b6d3-0a0429c72e89,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Minnesota Lynx,Atlanta Dream,2020-08-23T20:00:00Z,75,78,2020
79,e3194f46-d060-4925-bda3-4088bf5b6847,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,5f0b5caf-708b-4300-92f2-53b51d83ec06,Los Angeles Sparks,Dallas Wings,2020-08-23T22:00:00Z,84,81,2020
80,b26ec177-21c0-4fad-852a-7969ceab1361,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Washington Mystics,Phoenix Mercury,2020-08-24T00:00:00Z,87,88,2020
