,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Crowd,Stadium_Cap,game_id,game_date
1395,Juwan,Morgan,b2a52646-bbd0-4dc0-82c0-8145d4b00b22,F,1,25.0,0.0,0.0,0,1,0,0,1,0,0,0,Jazz,0,0,78,6:47,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1396,Miye,Oni,eec2714c-72a5-48c8-bc10-d628e2a583f7,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,78,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1397,Tony,Bradley,6130d33e-5725-4f5d-8f81-76ecd691a5b2,C-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,78,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1398,Emmanuel,Mudiay,8f7caaba-426f-4bee-be51-9625718d51f3,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,78,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1399,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,19,75.0,61.5,0.0,0,18,7,0,4,0,0,1,Jazz,0,0,78,38:33,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1400,Georges,Niang,fae899bc-3fc7-43d9-b2c9-35721d11e438,F,6,0.0,0.0,50.0,1,1,0,0,0,0,0,0,Jazz,0,0,78,6:40,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1401,Jordan,Clarkson,03d77214-5780-4715-8df2-13de3af5ea2d,G,10,100.0,75.0,20.0,1,3,0,1,1,0,0,0,Jazz,0,0,78,24:47,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1402,Marvin,Williams,e17a3191-b05c-4878-8be6-21028b8ec007,F,4,100.0,50.0,0.0,0,5,4,1,2,0,0,0,Bucks,1,0,114,21:33,Covid,1200,26b47472-49ab-4f7d-bfc1-fc66a32a8b44,2020-09-02T22:30:00+00:00
1403,Robin,Lopez,e521ef3c-7892-4f14-a560-df320872d59a,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bucks,1,0,114,00:00,Covid,1200,26b47472-49ab-4f7d-bfc1-fc66a32a8b44,2020-09-02T22:30:00+00:00
1404,Sterling,Brown,2c04ab46-c23c-4df8-a748-15f0e35e4e8b,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bucks,1,0,114,00:00,Covid,1200,26b47472-49ab-4f7d-bfc1-fc66a32a8b44,2020-09-02T22:30:00+00:00
