,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player_Name,Twitter_handle
68,69,Harrison Barnes_barneha02,SAC,8,8,31.3,4.9,10.3,0.47600000000000003,1.1,3.1,0.36,2.3,2.9,0.7829999999999999,2.0,4.1,6.1,0.9,0.6,0.3,1.0,1.4,13.1,10.2,Harrison Barnes,barneha02
69,70,Mikal Bridges_bridgmi01,PHO,8,8,33.7,4.6,9.6,0.48100000000000004,1.8,4.4,0.4,1.8,2.1,0.8240000000000001,0.9,3.3,4.1,1.8,1.1,0.9,1.0,2.6,12.8,10.2,Mikal Bridges,bridgmi01
70,71,Robert Covington_covinro01,HOU,20,20,32.4,3.6,8.5,0.424,2.4,6.2,0.379,1.0,1.2,0.826,0.9,5.5,6.3,1.5,2.5,1.3,1.1,3.5,10.5,10.1,Robert Covington,covinro01
71,72,Tim Hardaway_hardati02,DAL,14,14,34.3,5.6,13.4,0.41700000000000004,2.7,8.0,0.33899999999999997,2.6,3.0,0.857,0.4,3.6,3.9,1.7,0.3,0.0,0.8,2.6,16.4,10.1,Tim Hardaway,hardati02
72,73,Carmelo Anthony_anthoca01,POR,13,13,35.0,5.8,13.2,0.439,1.8,3.9,0.451,2.7,3.2,0.8540000000000001,0.8,5.3,6.2,1.2,1.1,0.5,2.0,3.8,16.0,9.9,Carmelo Anthony,anthoca01
73,74,Eric Gordon_gordoer01,HOU,14,14,32.4,5.8,14.4,0.40299999999999997,2.4,7.5,0.314,2.8,3.1,0.8859999999999999,0.5,2.2,2.7,2.7,0.8,0.6,2.2,2.0,16.7,9.9,Eric Gordon,gordoer01
74,75,Jrue Holiday_holidjr01,NOP,6,6,32.5,6.2,12.5,0.493,1.2,4.0,0.292,1.7,2.0,0.833,1.2,3.0,4.2,5.0,1.2,0.7,4.3,3.3,15.2,9.9,Jrue Holiday,holidjr01
75,76,Marcus Smart_smartma01,BOS,24,17,35.3,3.9,10.3,0.379,2.1,6.3,0.33299999999999996,2.9,3.4,0.8640000000000001,0.5,4.1,4.6,4.7,1.5,0.4,2.5,3.1,12.8,9.9,Marcus Smart,smartma01
76,77,Danilo Gallinari_gallida01,OKC,14,14,25.4,4.4,10.5,0.415,1.8,5.2,0.342,4.4,4.6,0.953,0.5,3.6,4.1,0.9,0.5,0.1,1.5,1.4,14.9,9.8,Danilo Gallinari,gallida01
77,78,Ivica Zubac_zubaciv01,LAC,21,21,23.3,3.7,6.0,0.614,0.0,0.0,,2.2,3.0,0.758,3.0,5.4,8.3,1.0,0.2,0.8,1.0,2.7,9.7,9.8,Ivica Zubac,zubaciv01
78,79,Alec Burks_burksal01,PHI,11,1,21.6,4.9,10.5,0.466,1.7,4.0,0.43200000000000005,1.5,2.1,0.7390000000000001,1.1,2.1,3.2,2.3,0.5,0.3,0.8,1.4,13.1,9.7,Alec Burks,burksal01
79,80,Rui Hachimura_hachiru01,WAS,7,7,32.4,5.1,12.7,0.40399999999999997,0.7,2.0,0.35700000000000004,3.4,4.1,0.828,2.1,4.4,6.6,2.4,0.4,0.1,1.7,2.3,14.4,9.7,Rui Hachimura,hachiru01
80,81,Gary Trent_trentga02,POR,13,1,32.7,4.8,10.5,0.46299999999999997,3.4,7.0,0.484,1.0,1.2,0.813,0.8,0.9,1.7,1.1,1.0,0.2,0.5,2.8,14.1,9.7,Gary Trent,trentga02
81,82,Nemanja Bjelica_bjeline01,SAC,8,6,23.7,3.4,6.1,0.551,1.1,3.1,0.36,1.1,1.4,0.818,0.5,5.3,5.8,3.0,1.0,0.9,0.9,2.9,9.0,9.6,Nemanja Bjelica,bjeline01
82,83,Lou Williams_willilo02,LAC,18,0,24.9,4.8,11.1,0.43200000000000005,0.9,3.9,0.225,2.4,3.0,0.815,0.6,2.6,3.1,4.2,0.7,0.2,1.7,1.2,12.9,9.6,Lou Williams,willilo02
