,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_Name,Twitter_handle
242,187,JaMychal Green_greenja01,PF,29,LAC,63,1,1307,151,352,0.429,92,238,0.387,59,114,0.518,0.56,36,48,0.75,77,311,388,49,29,24,54,174,430,JaMychal Green,greenja01
243,188,Javonte Green_greenja02,SF,26,BOS,48,2,468,63,126,0.5,9,33,0.273,54,93,0.581,0.536,28,42,0.667,24,69,93,26,24,8,23,43,163,Javonte Green,greenja02
244,189,Jeff Green_greenje02,PF-C,33,TOT,48,4,960,159,344,0.462,62,183,0.33899999999999997,97,161,0.602,0.552,73,91,0.802,24,109,133,50,26,19,42,89,453,Jeff Green,greenje02
245,189,Jeff Green_greenje02,PF,33,UTA,30,2,553,75,195,0.385,34,104,0.327,41,91,0.451,0.47200000000000003,49,63,0.778,14,67,81,20,12,10,27,46,233,Jeff Green,greenje02
246,189,Jeff Green_greenje02,C,33,HOU,18,2,407,84,149,0.564,28,79,0.354,56,70,0.8,0.6579999999999999,24,28,0.857,10,42,52,30,14,9,15,43,220,Jeff Green,greenje02
247,190,Blake Griffin_griffbl01,PF,30,DET,18,18,512,88,250,0.35200000000000004,27,111,0.243,61,139,0.439,0.406,76,98,0.7759999999999999,17,67,84,59,7,7,40,27,279,Blake Griffin,griffbl01
248,191,Marko Guduric_gudurma01,SG,24,MEM,44,0,484,62,157,0.395,25,83,0.301,37,74,0.5,0.475,24,26,0.9229999999999999,14,59,73,45,12,8,36,34,173,Marko Guduric,gudurma01
249,192,Kyle Guy_guyky01,SG,22,SAC,3,0,10,2,5,0.4,0,3,0.0,2,2,1.0,0.4,0,0,,0,1,1,1,0,0,0,1,4,Kyle Guy,guyky01
250,193,Rui Hachimura_hachiru01,PF,21,WAS,48,48,1444,254,545,0.466,25,87,0.287,229,458,0.5,0.489,116,140,0.8290000000000001,78,216,294,87,37,8,53,105,649,Rui Hachimura,hachiru01
251,194,Devon Hall_hallde01,SG,24,OKC,11,0,81,6,30,0.2,4,17,0.235,2,13,0.154,0.267,4,8,0.5,2,5,7,13,4,1,5,6,20,Devon Hall,hallde01
252,195,Donta Hall_halldo01,PF,22,TOT,9,0,133,15,22,0.682,0,0,,15,22,0.682,0.682,9,18,0.5,14,24,38,4,3,6,5,23,39,Donta Hall,halldo01
253,195,Donta Hall_halldo01,PF,22,DET,4,0,48,1,4,0.25,0,0,,1,4,0.25,0.25,4,6,0.667,6,9,15,2,1,1,2,9,6,Donta Hall,halldo01
254,195,Donta Hall_halldo01,PF,22,BRK,5,0,85,14,18,0.778,0,0,,14,18,0.778,0.778,5,12,0.41700000000000004,8,15,23,2,2,5,3,14,33,Donta Hall,halldo01
255,196,Dusty Hannahs_hannadu01,SG,26,MEM,2,0,13,4,9,0.444,2,3,0.667,2,6,0.33299999999999996,0.556,2,2,1.0,0,1,1,0,0,0,0,1,12,Dusty Hannahs,hannadu01
256,197,Tim Hardaway Jr._hardati02,SG,27,DAL,71,58,2091,384,884,0.434,204,513,0.39799999999999996,180,371,0.485,0.55,149,182,0.8190000000000001,25,207,232,137,41,5,69,125,1121,Tim Hardaway Jr.,hardati02
257,198,James Harden_hardeja01,SG,30,HOU,68,68,2483,672,1514,0.444,299,843,0.355,373,671,0.556,0.5429999999999999,692,800,0.865,70,376,446,512,125,60,308,227,2335,James Harden,hardeja01
258,199,Maurice Harkless_harklma01,SF,26,TOT,62,48,1427,142,283,0.502,34,98,0.34700000000000003,108,185,0.584,0.562,39,66,0.591,55,185,240,68,58,33,53,148,357,Maurice Harkless,harklma01
259,199,Maurice Harkless_harklma01,SF,26,LAC,50,38,1141,112,217,0.516,27,73,0.37,85,144,0.59,0.578,24,42,0.5710000000000001,47,153,200,48,49,30,46,120,275,Maurice Harkless,harklma01
260,199,Maurice Harkless_harklma01,SF,26,NYK,12,10,286,30,66,0.455,7,25,0.28,23,41,0.561,0.508,15,24,0.625,8,32,40,20,9,3,7,28,82,Maurice Harkless,harklma01
261,200,Jared Harper_harpeja01,PG,22,PHO,3,0,8,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,0,0,0,0,0,0,0,0,2,Jared Harper,harpeja01
262,201,Montrezl Harrell_harremo01,C,26,LAC,63,2,1749,471,812,0.58,0,18,0.0,471,794,0.593,0.58,231,351,0.6579999999999999,163,282,445,107,39,72,108,146,1173,Montrezl Harrell,harremo01
263,202,Gary Harris_harriga01,SG,25,DEN,56,55,1780,218,519,0.42,70,210,0.33299999999999996,148,309,0.479,0.48700000000000004,75,92,0.815,26,137,163,118,76,14,60,116,581,Gary Harris,harriga01
264,203,Joe Harris_harrijo01,SF,28,BRK,69,69,2123,381,784,0.486,172,406,0.424,209,378,0.5529999999999999,0.596,64,89,0.7190000000000001,64,234,298,144,41,17,104,159,998,Joe Harris,harrijo01
265,204,Tobias Harris_harrito02,PF,27,PHI,72,72,2469,553,1173,0.47100000000000003,131,357,0.36700000000000005,422,816,0.517,0.527,174,216,0.8059999999999999,69,426,495,227,53,40,104,165,1411,Tobias Harris,harrito02
266,205,Shaquille Harrison_harrish01,SF,26,CHI,43,10,484,77,165,0.467,16,42,0.381,61,123,0.496,0.515,39,50,0.78,22,64,86,49,34,19,19,55,209,Shaquille Harrison,harrish01
267,206,Josh Hart_hartjo01,SF,24,NOP,65,16,1755,225,532,0.423,121,354,0.342,104,178,0.584,0.537,85,115,0.7390000000000001,61,364,425,108,63,23,75,160,656,Josh Hart,hartjo01
268,207,Isaiah Hartenstein_harteis01,C,21,HOU,23,2,266,44,67,0.657,0,5,0.0,44,62,0.71,0.657,19,28,0.679,29,61,90,18,9,12,16,41,107,Isaiah Hartenstein,harteis01
269,208,Udonis Haslem_hasleud01,PF,39,MIA,4,1,44,4,11,0.364,1,3,0.33299999999999996,3,8,0.375,0.409,3,4,0.75,1,15,16,1,0,0,1,6,12,Udonis Haslem,hasleud01
270,209,Jaxson Hayes_hayesja02,C,19,NOP,64,14,1080,174,259,0.672,1,4,0.25,173,255,0.6779999999999999,0.674,123,190,0.647,97,162,259,56,26,55,53,161,472,Jaxson Hayes,hayesja02
271,210,Gordon Hayward_haywago01,SF,29,BOS,52,52,1740,350,700,0.5,85,222,0.38299999999999995,265,478,0.5539999999999999,0.561,124,145,0.855,55,293,348,212,38,22,96,96,909,Gordon Hayward,haywago01
272,211,John Henson_hensojo01,PF,29,TOT,40,8,600,95,171,0.556,8,36,0.222,87,135,0.644,0.579,23,46,0.5,46,116,162,54,24,42,36,78,221,John Henson,hensojo01
273,211,John Henson_hensojo01,PF,29,CLE,29,2,412,61,120,0.508,6,31,0.19399999999999998,55,89,0.618,0.5329999999999999,17,33,0.515,32,82,114,43,16,32,21,55,145,John Henson,hensojo01
274,211,John Henson_hensojo01,PF,29,DET,11,6,188,34,51,0.667,2,5,0.4,32,46,0.696,0.6859999999999999,6,13,0.462,14,34,48,11,8,10,15,23,76,John Henson,hensojo01
275,212,Dewan Hernandez_hernade01,C,23,TOR,6,0,28,5,14,0.35700000000000004,1,2,0.5,4,12,0.33299999999999996,0.39299999999999996,3,5,0.6,5,9,14,3,1,0,3,6,14,Dewan Hernandez,hernade01
276,213,Juan Hernangómez_hernaju01,PF,24,TOT,48,14,833,100,247,0.405,44,129,0.341,56,118,0.475,0.494,44,71,0.62,43,154,197,40,19,9,32,64,288,Juan Hernangómez,hernaju01
277,213,Juan Hernangómez_hernaju01,PF,24,DEN,34,0,422,38,110,0.345,15,60,0.25,23,50,0.46,0.414,16,25,0.64,24,71,95,22,5,5,18,29,107,Juan Hernangómez,hernaju01
278,213,Juan Hernangómez_hernaju01,PF,24,MIN,14,14,411,62,137,0.45299999999999996,29,69,0.42,33,68,0.485,0.5579999999999999,28,46,0.609,19,83,102,18,14,4,14,35,181,Juan Hernangómez,hernaju01
279,214,Willy Hernangómez_hernawi01,C,25,CHO,31,0,375,74,139,0.532,5,22,0.22699999999999998,69,117,0.59,0.55,37,59,0.627,43,91,134,29,10,7,30,32,190,Willy Hernangómez,hernawi01
280,215,Tyler Herro_herroty01,SG,20,MIA,55,8,1508,270,631,0.428,116,298,0.389,154,333,0.462,0.52,87,100,0.87,16,208,224,121,34,9,87,76,743,Tyler Herro,herroty01
281,216,Kevin Hervey_herveke01,PF,23,OKC,10,0,52,7,27,0.259,3,20,0.15,4,7,0.5710000000000001,0.315,0,0,,1,11,12,5,1,1,0,4,17,Kevin Hervey,herveke01
282,217,Mario Hezonja_hezonma01,PF,24,POR,53,4,871,92,218,0.42200000000000004,24,78,0.308,68,140,0.486,0.47700000000000004,48,59,0.8140000000000001,30,154,184,50,36,9,42,107,256,Mario Hezonja,hezonma01
283,218,Buddy Hield_hieldbu01,SG,27,SAC,72,44,2216,498,1162,0.429,271,688,0.39399999999999996,227,474,0.479,0.545,115,136,0.846,57,271,328,213,66,17,168,165,1382,Buddy Hield,hieldbu01
284,219,George Hill_hillge01,PG,33,MIL,59,2,1271,194,376,0.516,81,176,0.46,113,200,0.565,0.624,85,101,0.8420000000000001,50,127,177,180,47,5,57,84,554,George Hill,hillge01
285,220,Solomon Hill_hillso01,SF,28,TOT,59,4,1088,110,278,0.396,63,171,0.368,47,107,0.439,0.509,40,54,0.741,29,136,165,104,43,12,51,85,323,Solomon Hill,hillso01
286,220,Solomon Hill_hillso01,SF,28,MEM,48,3,901,96,233,0.41200000000000003,56,147,0.381,40,86,0.465,0.532,26,38,0.684,24,120,144,94,31,7,40,73,274,Solomon Hill,hillso01
287,220,Solomon Hill_hillso01,SF,28,MIA,11,1,187,14,45,0.311,7,24,0.292,7,21,0.33299999999999996,0.389,14,16,0.875,5,16,21,10,12,5,11,12,49,Solomon Hill,hillso01
288,221,Jaylen Hoard_hoardja01,SF,20,POR,13,0,103,15,32,0.469,0,3,0.0,15,29,0.517,0.469,8,13,0.615,14,18,32,4,5,0,4,12,38,Jaylen Hoard,hoardja01
289,222,Aaron Holiday_holidaa01,PG,23,IND,66,33,1617,233,563,0.414,87,221,0.39399999999999996,146,342,0.42700000000000005,0.491,74,87,0.851,22,134,156,225,55,16,88,120,627,Aaron Holiday,holidaa01
290,223,Jrue Holiday_holidjr01,SG,29,NOP,61,61,2117,458,1006,0.455,122,346,0.353,336,660,0.509,0.516,129,182,0.7090000000000001,77,216,293,408,99,48,184,145,1167,Jrue Holiday,holidjr01
