Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
79,Alec Burks\burksal01,PHI,11,1,21.6,4.9,10.5,.466,1.7,4.0,.432,1.5,2.1,.739,1.1,2.1,3.2,2.3,0.5,0.3,0.8,1.4,13.1,9.7
80,Rui Hachimura\hachiru01,WAS,7,7,32.4,5.1,12.7,.404,0.7,2.0,.357,3.4,4.1,.828,2.1,4.4,6.6,2.4,0.4,0.1,1.7,2.3,14.4,9.7
81,Gary Trent\trentga02,POR,13,1,32.7,4.8,10.5,.463,3.4,7.0,.484,1.0,1.2,.813,0.8,0.9,1.7,1.1,1.0,0.2,0.5,2.8,14.1,9.7
82,Nemanja Bjelica\bjeline01,SAC,8,6,23.7,3.4,6.1,.551,1.1,3.1,.360,1.1,1.4,.818,0.5,5.3,5.8,3.0,1.0,0.9,0.9,2.9,9.0,9.6
83,Lou Williams\willilo02,LAC,18,0,24.9,4.8,11.1,.432,0.9,3.9,.225,2.4,3.0,.815,0.6,2.6,3.1,4.2,0.7,0.2,1.7,1.2,12.9,9.6
84,Steven Adams\adamsst01,OKC,12,12,27.2,4.3,7.3,.598,0.0,0.1,.000,1.5,3.2,.474,3.8,6.3,10.1,1.2,0.4,0.3,2.0,1.8,10.2,9.5
85,Jeff Green\greenje02,HOU,20,2,27.3,4.7,9.3,.505,1.9,5.0,.374,1.5,1.8,.857,0.3,3.7,4.0,1.9,0.6,0.5,1.1,2.6,12.8,9.5
86,Rajon Rondo\rondora01,LAL,16,0,24.7,3.4,7.6,.455,1.3,3.1,.400,0.8,1.2,.684,0.8,3.5,4.3,6.6,1.4,0.1,2.1,2.3,8.9,9.5
87,Terrence Ross\rosste01,ORL,11,0,27.4,5.0,12.1,.414,2.3,7.3,.313,3.0,3.4,.892,0.1,3.6,3.7,1.2,1.1,0.3,1.5,2.5,15.3,9.5
88,Victor Oladipo\oladivi01,IND,10,10,31.3,5.6,14.1,.397,2.4,6.8,.353,3.1,3.4,.912,0.2,4.5,4.7,2.7,1.5,0.1,3.3,2.9,16.7,9.4
89,Jakob Poeltl\poeltja01,SAS,8,8,25.8,3.9,6.0,.646,0.0,0.0,,0.5,1.5,.333,3.4,4.8,8.1,1.8,0.9,1.4,1.1,3.8,8.3,9.4
90,Dennis Schröder\schrode01,OKC,9,1,30.4,6.1,14.3,.426,1.8,5.6,.320,2.8,3.4,.806,0.2,3.0,3.2,3.4,0.7,0.1,2.7,2.6,16.8,9.4
91,Trey Burke\burketr01,DAL,14,4,24.8,4.6,10.1,.461,1.7,3.9,.444,1.1,1.5,.762,0.2,2.2,2.4,3.0,1.2,0.2,1.1,1.9,12.1,9.3
92,Jae Crowder\crowdja01,MIA,28,28,30.0,3.9,9.0,.438,2.8,7.1,.385,1.3,1.8,.740,0.5,4.8,5.3,1.8,0.7,0.5,0.8,2.6,11.9,9.3
93,Dorian Finney-Smith\finnedo01,DAL,13,13,31.7,4.0,9.0,.444,2.0,5.2,.382,0.9,1.2,.750,2.5,4.2,6.7,2.8,0.6,0.4,1.2,3.5,10.9,9.3
94,Timothé Luwawu-Cabarrot\luwawti01,BRK,12,5,26.1,4.9,11.3,.434,3.0,7.5,.400,2.3,2.6,.903,0.5,3.8,4.3,0.8,0.5,0.1,1.1,3.3,15.2,9.3
95,Jordan Clarkson\clarkjo01,UTA,15,2,25.2,5.9,14.1,.422,2.6,7.3,.358,1.7,2.0,.867,0.3,2.6,2.9,1.8,0.6,0.1,1.5,2.1,16.2,9.2
96,Grayson Allen\allengr01,MEM,8,0,27.6,4.8,9.4,.507,3.0,6.3,.480,1.1,1.3,.900,0.4,2.0,2.4,1.1,0.5,0.1,1.3,2.1,13.6,9.1
97,OG Anunoby\anunoog01,TOR,17,17,33.1,3.5,7.5,.465,1.4,3.2,.444,1.8,2.6,.705,1.9,3.9,5.8,1.3,1.1,0.9,1.2,2.3,10.2,9.1
98,Dejounte Murray\murrade01,SAS,8,8,29.9,4.9,12.5,.390,0.9,2.6,.333,2.0,2.5,.800,0.3,5.8,6.0,4.3,1.4,0.1,2.1,1.9,12.6,9.1
99,Jabari Parker\parkeja01,SAC,5,0,13.2,4.0,6.0,.667,0.2,0.6,.333,1.2,1.4,.857,1.4,2.4,3.8,1.6,0.6,0.2,0.8,1.0,9.4,9.1
100,Josh Richardson\richajo01,PHI,11,11,33.0,4.7,11.6,.406,2.3,5.7,.397,2.7,2.8,.968,0.7,1.7,2.5,2.5,0.8,0.4,1.9,2.5,14.5,9.1
101,D.J. Augustin\augusdj01,ORL,13,7,25.6,3.5,8.5,.418,1.4,3.4,.409,3.4,3.6,.936,0.3,1.5,1.8,5.3,0.4,0.0,2.2,1.9,11.8,9.0
102,Joe Ingles\inglejo01,UTA,15,15,30.3,3.3,7.5,.442,2.1,5.5,.386,1.0,1.1,.938,0.3,2.7,3.1,5.0,0.8,0.2,1.5,2.3,9.8,9.0
103,Eric Bledsoe\bledser01,MIL,14,14,27.8,3.8,9.9,.381,0.9,3.3,.261,2.4,3.4,.702,0.5,4.1,4.6,5.6,1.1,0.5,2.2,2.0,10.8,8.9
104,Tyler Johnson\johnsty01,BRK,12,6,23.9,4.4,10.4,.424,2.1,5.3,.391,1.7,1.7,1.000,0.7,1.9,2.6,2.8,0.3,0.2,0.7,2.2,12.6,8.9
