Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Mon Sep 21 2015,Indiana Fever,100,Chicago Sky,89,Box Score
Tue Sep 22 2015,Los Angeles Sparks,80,Minnesota Lynx,91,Box Score
Tue Sep 22 2015,Washington Mystics,74,New York Liberty,79,Box Score
Wed Sep 23 2015,Indiana Fever,67,New York Liberty,84,Box Score
Thu Sep 24 2015,Phoenix Mercury,60,Minnesota Lynx,67,Box Score
Sun Sep 27 2015,New York Liberty,64,Indiana Fever,70,Box Score
Sun Sep 27 2015,Minnesota Lynx,72,Phoenix Mercury,71,Box Score
Tue Sep 29 2015,Indiana Fever,66,New York Liberty,51,Box Score
Sun Oct 4 2015,Indiana Fever,75,Minnesota Lynx,69,Box Score
Tue Oct 6 2015,Indiana Fever,71,Minnesota Lynx,77,Box Score
Fri Oct 9 2015,Minnesota Lynx,80,Indiana Fever,77,Box Score
Sun Oct 11 2015,Minnesota Lynx,69,Indiana Fever,75,Box Score
Wed Oct 14 2015,Indiana Fever,52,Minnesota Lynx,69,Box Score
