,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
258,259,Meyers Leonard\leoname01,MIA,5,2,15.5,1.6,3.8,0.42100000000000004,0.8,2.6,0.308,0.6,0.8,0.75,0.6,2.0,2.6,1.0,0.4,0.0,0.8,1.6,4.6,3.2
259,260,Nicolò Melli\mellini01,NOP,8,2,19.1,1.6,5.6,0.289,0.5,3.3,0.154,1.3,1.6,0.769,0.1,2.8,2.9,1.9,0.5,0.5,0.5,2.4,5.0,3.2
260,261,Nerlens Noel\noelne01,OKC,13,1,16.2,1.4,2.5,0.563,0.0,0.1,0.0,0.8,1.4,0.556,1.1,3.4,4.5,0.5,0.4,1.1,1.1,2.9,3.5,3.2
261,262,Nigel Williams-Goss\willini01,UTA,2,0,12.3,2.0,4.5,0.444,1.0,2.5,0.4,0.0,0.0,,0.0,0.5,0.5,1.0,1.0,0.0,0.5,2.0,5.0,3.2
262,263,D.J. Wilson\wilsodj01,MIL,6,1,13.8,2.0,5.2,0.387,0.7,3.0,0.222,0.8,1.5,0.556,0.3,3.7,4.0,0.5,0.2,0.0,0.7,1.2,5.5,3.1
263,264,Kostas Antetokounmpo\antetko01,LAL,2,0,7.5,1.5,1.5,1.0,0.0,0.0,,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,3.5,3.0
264,265,Solomon Hill\hillso01,MIA,12,0,11.5,1.3,3.3,0.385,0.5,1.8,0.28600000000000003,0.8,1.0,0.833,0.3,1.3,1.5,0.8,0.7,0.0,0.3,1.0,3.8,3.0
265,266,Derrick Jones\jonesde02,MIA,23,1,9.7,1.1,1.9,0.605,0.3,0.7,0.467,0.4,0.7,0.6,0.7,0.7,1.4,0.5,0.4,0.3,0.2,1.2,3.0,3.0
266,267,Vincent Poirier\poirivi01,BOS,2,0,9.1,0.5,1.5,0.33299999999999996,0.0,0.0,,0.0,0.0,,1.5,3.0,4.5,1.0,0.5,1.5,1.0,1.0,1.0,3.0
267,268,Landry Shamet\shamela01,LAC,19,7,21.1,1.9,5.2,0.364,1.1,3.7,0.3,0.7,1.1,0.65,0.0,1.7,1.7,1.5,0.4,0.2,1.0,1.6,5.6,3.0
268,269,Edmond Sumner\sumneed01,IND,9,1,15.8,1.8,4.2,0.42100000000000004,0.4,2.0,0.222,0.9,1.8,0.5,0.2,1.4,1.7,1.8,0.0,0.1,0.6,1.6,4.9,3.0
269,270,Jarrell Brantley\brantja01,UTA,6,0,15.9,1.7,5.5,0.303,0.5,2.7,0.188,0.3,0.7,0.5,0.8,2.3,3.2,2.0,0.5,0.7,1.0,1.5,4.2,2.9
270,271,Rodney McGruder\mcgruro01,LAC,11,1,12.5,1.3,2.7,0.467,0.4,1.2,0.308,0.4,0.5,0.667,0.4,2.1,2.5,0.7,0.3,0.0,0.3,0.6,3.3,2.9
271,272,Moritz Wagner\wagnemo01,WAS,8,0,16.0,1.8,4.8,0.368,0.3,1.6,0.154,1.4,1.6,0.846,0.6,2.8,3.4,0.9,0.8,0.3,1.4,2.3,5.1,2.9
272,273,Yuta Watanabe\watanyu01,MEM,2,0,3.1,1.5,2.5,0.6,0.0,0.0,,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,0.0,0.0,3.0,2.9
273,274,Justin Anderson\anderju01,BRK,10,1,11.9,1.4,4.4,0.318,1.1,3.7,0.297,0.5,0.6,0.833,0.1,2.6,2.7,1.1,0.0,0.6,0.6,1.3,4.4,2.8
274,275,Bruno Caboclo\cabocbr01,HOU,5,0,6.2,1.4,2.8,0.5,0.4,1.2,0.33299999999999996,0.8,0.8,1.0,0.2,1.8,2.0,0.0,0.8,0.2,0.8,1.6,4.0,2.8
275,276,Amir Coffey\coffeam01,LAC,8,1,8.5,1.3,3.0,0.41700000000000004,0.6,1.6,0.385,0.9,1.3,0.7,0.0,0.3,0.3,1.1,0.6,0.1,0.6,1.0,4.0,2.8
