,First_Name,Last_Name,player_name,player_id,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Home_Away,win,Min_played,Crowd,total_sec_played
22151,Marie,Gülich,Marie Gülich,f9445de9-e1f9-4a34-933f-aa97f4275c9b,2,100.0,0.0,0.0,0,4,2,0,4,0,0,2,1,1,10:56,3866,656.0
22152,Jessica,Breland,Jessica Breland,897d2576-c2c5-4f86-83d4-a808ace96065,4,0.0,40.0,0.0,2,13,3,2,3,0,0,4,1,1,21:49,3866,1309.0
22153,Brittney,Sykes,Brittney Sykes,06e3bb10-73ab-4d8e-8ad4-6850ea710b30,6,0.0,60.0,0.0,4,4,1,1,1,0,0,3,1,1,26:28:00,3866,1588.0
22154,Monique,Billings,Monique Billings,206872ae-560b-4199-94f4-a44106b0baff,6,50.0,50.0,0.0,0,5,2,0,4,0,0,2,1,1,17:30,3866,1050.0
22156,Renee,Montgomery,Renee Montgomery,d8ef9679-5f87-49ad-862d-75b4f5b03383,12,100.0,66.7,22.2,4,1,0,2,1,0,0,1,1,1,32:41:00,3866,1961.0
22157,Alex,Bentley,Alex Bentley,208ce658-9579-408a-92b5-9c69a950f1be,11,100.0,50.0,33.3,2,2,0,1,0,0,0,0,1,1,16:33,3866,993.0
22158,Jasmine,Thomas,Jasmine Thomas,0ac8d024-ec11-4809-83f4-6277c1252617,12,0.0,60.0,33.3,2,3,2,5,0,0,0,2,0,0,26:49:00,3866,1609.0
22159,Jonquel,Jones,Jonquel Jones,8a438358-fbe0-4797-921f-add82eddf789,11,70.0,20.0,0.0,2,9,4,1,1,0,0,0,0,0,28:49:00,3866,1729.0
22160,Courtney,Williams,Courtney Williams,45e35318-295a-4e1c-bfc6-c7b295ed5066,13,100.0,25.0,50.0,0,3,1,0,3,0,0,0,0,0,21:29,3866,1289.0
22161,Bria,Holmes,Bria Holmes,57d6cf6c-09ee-4afa-b379-20277cce34d7,12,50.0,66.7,50.0,2,0,0,1,3,0,0,1,0,0,28:26:00,3866,1706.0
22162,Natisha,Hiedeman,Natisha Hiedeman,43135c04-f4c8-490d-ad59-0eb2e9f2f6cf,10,0.0,66.7,100.0,2,2,0,0,2,0,0,3,0,0,18:54,3866,1134.0
22164,Kristine,Anigwe,Kristine Anigwe,68abe3f3-2f09-45ac-8b42-d4204d8c5d67,5,100.0,33.3,0.0,0,5,2,0,1,0,0,1,0,0,11:11,3866,671.0
22165,Alyssa,Thomas,Alyssa Thomas,87a32879-a19b-4603-86ce-1c8b0e4484ad,7,50.0,37.5,0.0,2,9,3,5,3,0,0,4,0,0,32:56:00,3866,1976.0
22167,Rachel,Banham,Rachel Banham,30d46238-d1eb-476d-a526-4e2203474106,5,0.0,100.0,33.3,1,2,0,0,2,0,0,1,0,0,12:48,3866,768.0
22168,Shekinna,Stricklen,Shekinna Stricklen,fec2625c-b15d-4dcf-b476-78456c3572b6,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,11:34,3866,694.0
22169,Morgan,Tuck,Morgan Tuck,58baa67f-6372-407c-b061-321934358331,0,0.0,0.0,0.0,2,1,0,1,2,0,0,2,0,0,7:04,3866,424.0
22170,Natasha,Cloud,Natasha Cloud,f2c36797-b5c5-47a4-b073-43637c9794ef,4,0.0,28.6,0.0,5,3,0,0,1,0,0,2,1,0,29:12:00,15377,1752.0
22172,Ariel,Atkins,Ariel Atkins,2861dedc-439b-4fbb-bc50-1873b498dc52,14,100.0,42.9,28.6,1,3,1,1,5,0,0,0,1,0,26:51:00,15377,1611.0
22173,Aerial,Powers,Aerial Powers,849170da-3a64-47f6-a912-818a3feceb4c,5,0.0,33.3,16.7,0,4,1,0,0,0,0,1,1,0,16:54,15377,1014.0
22174,Shey,Peddy,Shey Peddy,782a5034-334b-48e8-a7a8-931296f40c06,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,2:54,15377,174.0
22176,Myisha,Hines-Allen,Myisha Hines-Allen,8302ef7b-466b-42f0-bdae-d87d8d56154a,2,0.0,50.0,0.0,4,5,0,0,1,0,0,1,1,0,13:18,15377,798.0
22177,Shatori,Walker-Kimbrough,Shatori Walker-Kimbrough,3762be5d-d392-4e3b-aea3-9c5e356c7486,8,100.0,42.9,0.0,1,0,0,1,0,0,0,0,1,0,18:22,15377,1102.0
22178,Kristi,Toliver,Kristi Toliver,12292e57-db16-407e-a936-d6fe4d0f0bb4,7,0.0,50.0,50.0,6,6,1,0,1,0,0,2,1,0,29:33:00,15377,1773.0
22179,LaToya,Sanders,LaToya Sanders,c9d1882f-4d87-4423-ad00-04f5d4c4a06a,4,0.0,50.0,0.0,2,5,2,0,2,0,0,0,1,0,28:56:00,15377,1736.0
22180,Tianna,Hawkins,Tianna Hawkins,91d7d573-663f-4d1d-98f7-64644f25a896,24,100.0,76.9,25.0,1,7,3,0,3,0,0,1,1,0,34:00:00,15377,2040.0
22181,DeWanna,Bonner,DeWanna Bonner,b262f7f1-1c78-406c-86aa-7ad15122931f,22,100.0,80.0,50.0,5,7,0,1,0,0,0,1,0,1,31:25:00,15377,1885.0
22182,Yvonne,Turner,Yvonne Turner,9e9a9e69-ca33-4761-aca7-5e6eeea8cbdb,10,0.0,50.0,50.0,1,2,0,2,1,0,0,3,0,1,17:57,15377,1077.0
